trial_id,timestamp,model,status,in_tokens,out_tokens,sec,error
S1_V0_none_claude-sonnet_rep0,2026-02-27T09:03:09.387469,claude-sonnet,success,807,722,6.81,
S1_V0_none_claude-sonnet_rep1,2026-02-27T09:03:15.990194,claude-sonnet,success,807,722,6.1,
S1_V0_none_claude-sonnet_rep2,2026-02-27T09:03:23.153252,claude-sonnet,success,807,722,6.66,
S1_V0_none_claude-sonnet_rep3,2026-02-27T09:03:30.408711,claude-sonnet,success,807,722,6.76,
S1_V0_none_claude-sonnet_rep4,2026-02-27T09:03:37.420695,claude-sonnet,success,807,722,6.51,
S1_V0_none_gpt-4o_rep0,2026-02-27T09:03:42.726702,gpt-4o,success,715,628,4.79,
S1_V0_none_gpt-4o_rep1,2026-02-27T09:03:48.638643,gpt-4o,success,715,628,5.41,
S1_V0_none_gpt-4o_rep2,2026-02-27T09:03:53.733735,gpt-4o,success,715,628,4.59,
S1_V0_none_gpt-4o_rep3,2026-02-27T09:03:57.708574,gpt-4o,success,715,628,3.47,
S1_V0_none_gpt-4o_rep4,2026-02-27T09:04:05.337921,gpt-4o,success,715,628,7.13,
S1_V1_none_claude-sonnet_rep0,2026-02-27T09:04:21.601385,claude-sonnet,success,801,768,15.76,
S1_V1_none_claude-sonnet_rep1,2026-02-27T09:04:34.574449,claude-sonnet,success,801,641,12.47,
S1_V1_none_claude-sonnet_rep2,2026-02-27T09:04:49.964258,claude-sonnet,success,801,696,14.89,
S1_V1_none_claude-sonnet_rep3,2026-02-27T09:05:05.102159,claude-sonnet,success,801,730,14.64,
S1_V1_none_claude-sonnet_rep4,2026-02-27T09:05:19.428597,claude-sonnet,success,801,718,13.83,
S1_V1_none_gpt-4o_rep0,2026-02-27T09:05:28.219908,gpt-4o,success,705,591,8.28,
S1_V1_none_gpt-4o_rep1,2026-02-27T09:05:45.241892,gpt-4o,success,705,560,16.52,
S1_V1_none_gpt-4o_rep2,2026-02-27T09:06:02.111616,gpt-4o,success,705,633,16.37,
S1_V1_none_gpt-4o_rep3,2026-02-27T09:06:12.295018,gpt-4o,success,705,571,9.68,
S1_V1_none_gpt-4o_rep4,2026-02-27T09:06:21.943288,gpt-4o,success,705,556,9.15,
S1_V2_causal_claude-sonnet_rep0,2026-02-27T09:06:48.814589,claude-sonnet,success,807,1210,26.36,
S1_V2_causal_claude-sonnet_rep1,2026-02-27T09:07:19.079975,claude-sonnet,success,807,1378,29.77,
S1_V2_causal_claude-sonnet_rep2,2026-02-27T09:07:43.167487,claude-sonnet,success,807,1166,23.59,
S1_V2_causal_claude-sonnet_rep3,2026-02-27T09:08:13.115716,claude-sonnet,success,807,1503,29.45,
S1_V2_causal_claude-sonnet_rep4,2026-02-27T09:08:36.329800,claude-sonnet,success,807,1057,22.71,
S1_V2_causal_gpt-4o_rep0,2026-02-27T09:08:51.530810,gpt-4o,success,712,1138,14.69,
S1_V2_causal_gpt-4o_rep1,2026-02-27T09:09:13.008361,gpt-4o,success,712,1157,20.98,
S1_V2_causal_gpt-4o_rep2,2026-02-27T09:09:29.276850,gpt-4o,success,712,900,15.77,
S1_V2_causal_gpt-4o_rep3,2026-02-27T09:09:44.272814,gpt-4o,success,712,1167,14.5,
S1_V2_causal_gpt-4o_rep4,2026-02-27T09:09:59.033827,gpt-4o,success,712,1101,14.26,
S1_V2_practical_claude-sonnet_rep0,2026-02-27T09:10:22.657902,claude-sonnet,success,797,1084,23.11,
S1_V2_practical_claude-sonnet_rep1,2026-02-27T09:10:46.794585,claude-sonnet,success,797,1048,23.64,
S1_V2_practical_claude-sonnet_rep2,2026-02-27T09:11:10.880255,claude-sonnet,success,797,1206,23.59,
S1_V2_practical_claude-sonnet_rep3,2026-02-27T09:11:34.010989,claude-sonnet,success,797,1079,22.63,
S1_V2_practical_claude-sonnet_rep4,2026-02-27T09:11:54.866127,claude-sonnet,success,797,1012,20.35,
S1_V2_practical_gpt-4o_rep0,2026-02-27T09:12:11.173391,gpt-4o,success,705,959,15.8,
S1_V2_practical_gpt-4o_rep1,2026-02-27T09:12:27.609847,gpt-4o,success,705,861,15.94,
S1_V2_practical_gpt-4o_rep2,2026-02-27T09:12:40.840039,gpt-4o,success,705,675,12.73,
S1_V2_practical_gpt-4o_rep3,2026-02-27T09:13:02.876811,gpt-4o,success,705,1015,21.54,
S1_V2_practical_gpt-4o_rep4,2026-02-27T09:13:21.686330,gpt-4o,success,705,1094,18.31,
S1_V2_historical_claude-sonnet_rep0,2026-02-27T09:13:48.924976,claude-sonnet,success,798,1220,26.73,
S1_V2_historical_claude-sonnet_rep1,2026-02-27T09:14:13.432400,claude-sonnet,success,798,939,24.01,
S1_V2_historical_claude-sonnet_rep2,2026-02-27T09:14:42.099322,claude-sonnet,success,798,1204,28.17,
S1_V2_historical_claude-sonnet_rep3,2026-02-27T09:15:07.471962,claude-sonnet,success,798,930,24.87,
S1_V2_historical_claude-sonnet_rep4,2026-02-27T09:15:35.994800,claude-sonnet,success,798,1117,28.02,
S1_V2_historical_gpt-4o_rep0,2026-02-27T09:15:45.328873,gpt-4o,success,704,634,8.82,
S1_V2_historical_gpt-4o_rep1,2026-02-27T09:16:09.143322,gpt-4o,success,704,716,23.31,
S1_V2_historical_gpt-4o_rep2,2026-02-27T09:16:25.546582,gpt-4o,success,704,790,15.9,
S1_V2_historical_gpt-4o_rep3,2026-02-27T09:16:37.430264,gpt-4o,success,704,709,11.38,
S1_V2_historical_gpt-4o_rep4,2026-02-27T09:16:49.518308,gpt-4o,success,704,787,11.59,
S1_V2_formal_claude-sonnet_rep0,2026-02-27T09:17:18.513775,claude-sonnet,success,804,1316,28.48,
S1_V2_formal_claude-sonnet_rep1,2026-02-27T09:17:49.340319,claude-sonnet,success,804,1567,30.33,
S1_V2_formal_claude-sonnet_rep2,2026-02-27T09:18:17.909275,claude-sonnet,success,804,1339,28.07,
S1_V2_formal_claude-sonnet_rep3,2026-02-27T09:18:45.454921,claude-sonnet,success,804,1383,27.05,
S1_V2_formal_claude-sonnet_rep4,2026-02-27T09:19:09.818052,claude-sonnet,success,804,1207,23.86,
S1_V2_formal_gpt-4o_rep0,2026-02-27T09:19:23.094924,gpt-4o,success,712,697,12.76,
S1_V2_formal_gpt-4o_rep1,2026-02-27T09:19:36.322478,gpt-4o,success,712,827,12.73,
S1_V2_formal_gpt-4o_rep2,2026-02-27T09:19:47.971632,gpt-4o,success,712,760,11.15,
S1_V2_formal_gpt-4o_rep3,2026-02-27T09:20:01.544454,gpt-4o,success,712,717,13.07,
S1_V2_formal_gpt-4o_rep4,2026-02-27T09:20:12.952645,gpt-4o,success,712,697,10.91,
S1_V3_causal_claude-sonnet_rep0,2026-02-27T09:20:43.770252,claude-sonnet,success,836,1297,30.3,
