trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences
S1_V0_none_claude-sonnet_rep0,S1,V0,0,none,claude-sonnet,0,0.0687,0.345995,-0.2694,0.25065,1.0,20,20,41
S1_V0_none_claude-sonnet_rep1,S1,V0,0,none,claude-sonnet,1,0.0903,0.215151,-0.4792,0.032537,1.0,20,20,41
S1_V0_none_claude-sonnet_rep2,S1,V0,0,none,claude-sonnet,2,-0.0174,0.812174,-0.2088,0.376973,1.0,20,20,41
S1_V0_none_claude-sonnet_rep3,S1,V0,0,none,claude-sonnet,3,0.0426,0.559635,-0.6105,0.004248,1.0,20,20,41
S1_V0_none_claude-sonnet_rep4,S1,V0,0,none,claude-sonnet,4,0.1265,0.082009,-0.2747,0.241168,1.0,20,20,41
S1_V0_none_gpt-4o_rep0,S1,V0,0,none,gpt-4o,0,0.106,0.145639,-0.4264,0.060814,1.0,20,20,41
S1_V0_none_gpt-4o_rep1,S1,V0,0,none,gpt-4o,1,0.0454,0.534256,-0.2198,0.351746,1.0,20,20,41
S1_V0_none_gpt-4o_rep2,S1,V0,0,none,gpt-4o,2,0.2406,0.000828,0.0663,0.781112,1.0,20,20,41
S1_V0_none_gpt-4o_rep3,S1,V0,0,none,gpt-4o,3,0.0026,0.971872,-0.6287,0.002985,1.0,20,20,41
S1_V0_none_gpt-4o_rep4,S1,V0,0,none,gpt-4o,4,0.2996,2.7e-05,0.0,1.0,1.0,20,20,41
S1_V1_none_claude-sonnet_rep0,S1,V1,1,none,claude-sonnet,0,0.1396,0.054725,-0.6195,0.003576,1.0,20,20,26
S1_V1_none_claude-sonnet_rep1,S1,V1,1,none,claude-sonnet,1,0.1448,0.046254,-0.6068,0.004558,1.0,20,20,19
S1_V1_none_claude-sonnet_rep2,S1,V1,1,none,claude-sonnet,2,0.0602,0.409317,-0.7768,5.6e-05,1.0,20,20,24
S1_V1_none_claude-sonnet_rep3,S1,V1,1,none,claude-sonnet,3,0.1711,0.018293,-0.7015,0.000568,1.0,20,20,24
S1_V1_none_claude-sonnet_rep4,S1,V1,1,none,claude-sonnet,4,0.0759,0.298145,-0.6259,0.003155,0.9643,20,20,25
S1_V1_none_gpt-4o_rep0,S1,V1,1,none,gpt-4o,0,0.2736,0.000134,-0.4418,0.051155,0.9643,20,20,20
