trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences,isc,isc_p,osd,ri,pd
S1_V0_none_claude-sonnet_rep0,S1,V0,0,none,claude-sonnet,0,0.0687,0.345995,-0.2694,0.25065,1.0,20,20,41,-0.0663,0.363541,0.2932,0.5684,0.0
S1_V0_none_claude-sonnet_rep1,S1,V0,0,none,claude-sonnet,1,0.0903,0.215151,-0.4792,0.032537,1.0,20,20,41,0.055,0.451036,0.3671,0.4105,0.0
S1_V0_none_claude-sonnet_rep2,S1,V0,0,none,claude-sonnet,2,-0.0174,0.812174,-0.2088,0.376973,1.0,20,20,41,0.2349,0.001106,0.3408,0.3895,0.0
S1_V0_none_claude-sonnet_rep3,S1,V0,0,none,claude-sonnet,3,0.0426,0.559635,-0.6105,0.004248,1.0,20,20,41,0.232,0.001281,0.3182,0.6316,0.0
S1_V0_none_claude-sonnet_rep4,S1,V0,0,none,claude-sonnet,4,0.1265,0.082009,-0.2747,0.241168,1.0,20,20,41,0.0603,0.408282,0.3213,0.5895,0.0
S1_V0_none_gpt-4o_rep0,S1,V0,0,none,gpt-4o,0,0.106,0.145639,-0.4264,0.060814,1.0,20,20,41,0.0065,0.929599,0.3224,0.2632,0.0
S1_V0_none_gpt-4o_rep1,S1,V0,0,none,gpt-4o,1,0.0454,0.534256,-0.2198,0.351746,1.0,20,20,41,0.0526,0.471293,0.3605,0.2211,0.0
S1_V0_none_gpt-4o_rep2,S1,V0,0,none,gpt-4o,2,0.2406,0.000828,0.0663,0.781112,1.0,20,20,41,0.1562,0.031437,0.3555,0.4737,0.0
S1_V0_none_gpt-4o_rep3,S1,V0,0,none,gpt-4o,3,0.0026,0.971872,-0.6287,0.002985,1.0,20,20,41,-0.0856,0.240023,0.3083,0.5263,0.0
S1_V0_none_gpt-4o_rep4,S1,V0,0,none,gpt-4o,4,0.2996,2.7e-05,0.0,1.0,1.0,20,20,41,0.1102,0.130188,0.28,0.5579,0.0
S1_V1_none_claude-sonnet_rep0,S1,V1,1,none,claude-sonnet,0,0.1396,0.054725,-0.6195,0.003576,1.0,20,20,26,0.5304,0.0,0.4761,0.8947,0.0
S1_V1_none_claude-sonnet_rep1,S1,V1,1,none,claude-sonnet,1,0.1448,0.046254,-0.6068,0.004558,1.0,20,20,19,0.3683,0.0,0.4776,0.8316,0.0
S1_V1_none_claude-sonnet_rep2,S1,V1,1,none,claude-sonnet,2,0.0602,0.409317,-0.7768,5.6e-05,1.0,20,20,24,0.2068,0.004196,0.4508,0.8632,0.0
S1_V1_none_claude-sonnet_rep3,S1,V1,1,none,claude-sonnet,3,0.1711,0.018293,-0.7015,0.000568,1.0,20,20,24,0.3892,0.0,0.4704,0.8211,0.0
S1_V1_none_claude-sonnet_rep4,S1,V1,1,none,claude-sonnet,4,0.0759,0.298145,-0.6259,0.003155,0.9643,20,20,25,0.491,0.0,0.4268,0.8842,0.0
S1_V1_none_gpt-4o_rep0,S1,V1,1,none,gpt-4o,0,0.2736,0.000134,-0.4418,0.051155,0.9643,20,20,20,0.3677,0.0,0.5075,0.9053,0.0
S1_V1_none_gpt-4o_rep1,S1,V1,1,none,gpt-4o,1,0.1784,0.013805,-0.5071,0.02248,0.9643,20,20,20,0.4486,0.0,0.4789,0.9474,0.0
S1_V1_none_gpt-4o_rep2,S1,V1,1,none,gpt-4o,2,0.1783,0.013826,-0.5278,0.01677,0.9286,20,20,21,0.2679,0.000186,0.4882,0.9684,0.0
S1_V1_none_gpt-4o_rep3,S1,V1,1,none,gpt-4o,3,0.2202,0.002269,-0.4357,0.054856,1.0,20,20,20,0.1644,0.023379,0.4487,0.3895,0.0
S1_V1_none_gpt-4o_rep4,S1,V1,1,none,gpt-4o,4,0.2606,0.000283,-0.4205,0.064843,0.9286,20,20,18,0.4717,0.0,0.4924,0.8842,0.0
S1_V2_causal_claude-sonnet_rep0,S1,V2,2,causal,claude-sonnet,0,0.0413,0.571874,-0.5054,0.023015,0.7857,18,20,19,0.2278,0.004633,0.5214,0.8737,0.4756
S1_V2_causal_claude-sonnet_rep1,S1,V2,2,causal,claude-sonnet,1,0.1045,0.151162,-0.2369,0.314619,0.9643,19,20,3,0.9913,0.0,0.5923,0.7263,0.493
S1_V2_causal_claude-sonnet_rep2,S1,V2,2,causal,claude-sonnet,2,0.0221,0.761774,-0.6166,0.003785,1.0,20,20,10,0.0,1.0,0.0,0.9895,0.4656
S1_V2_causal_claude-sonnet_rep3,S1,V2,2,causal,claude-sonnet,3,0.097,0.183022,-0.4937,0.026961,1.0,20,20,7,0.9895,0.0,0.4567,0.9579,0.4738
S1_V2_causal_claude-sonnet_rep4,S1,V2,2,causal,claude-sonnet,4,0.0629,0.388549,-0.4943,0.02673,0.8929,20,20,16,0.6235,0.0,0.3999,0.9474,0.4908
S1_V2_causal_gpt-4o_rep0,S1,V2,2,causal,gpt-4o,0,0.2127,0.003215,-0.02,0.93325,1.0,20,20,44,0.1619,0.025659,0.4159,0.8632,0.317
S1_V2_causal_gpt-4o_rep1,S1,V2,2,causal,gpt-4o,1,0.2882,5.5e-05,-0.411,0.071857,1.0,20,20,74,0.2513,0.00047,0.3996,0.8737,0.3225
S1_V2_causal_gpt-4o_rep2,S1,V2,2,causal,gpt-4o,2,0.3194,7e-06,-0.3967,0.083291,1.0,20,20,51,0.2211,0.002172,0.4584,0.9789,0.3875
S1_V2_causal_gpt-4o_rep3,S1,V2,2,causal,gpt-4o,3,0.2699,0.000166,-0.3951,0.084725,0.9643,20,20,74,0.1538,0.034165,0.4327,0.9895,0.2649
S1_V2_causal_gpt-4o_rep4,S1,V2,2,causal,gpt-4o,4,0.3155,9e-06,-0.3818,0.096673,0.9643,20,20,67,0.1213,0.095574,0.3904,0.9368,0.309
S1_V2_practical_claude-sonnet_rep0,S1,V2,2,practical,claude-sonnet,0,0.3092,1.4e-05,-0.0571,0.811043,0.8571,20,20,32,0.7481,0.0,0.3135,0.8316,0.5963
S1_V2_practical_claude-sonnet_rep1,S1,V2,2,practical,claude-sonnet,1,0.2765,0.000113,0.1437,0.54558,0.8571,20,20,18,0.0,1.0,0.3818,0.8947,0.5303
